category_id,category_label,category_description,generation_z_intensity,millennials_intensity,generation_x_intensity,interpretative_dimension,relational_or_cognitive_mechanism,theoretical_linkage
accompaniment,Accompaniment,Initial institutional support and active guidance offered to the newcomer during organizational socialization,High,High,Low,Perceived social support,Construction of relational ties and perceived organizational support,Relational support; organizational socialization
supervisor,Supervisor,Quality of direct interaction with the immediate supervisor including accessibility involvement and support in role clarification,Medium,High,Low,Perceived social support,Supervisor accessibility and affective-instrumental guidance,Perceived organizational support
team,Team,Level of collaboration and welcome from the work group as a facilitator of belonging and early integration,Medium,High,Low,Interpersonal socialization and integration,Peer acceptance and group validation,Belongingness; job embeddedness
role_functions,Role functions,Clarity delimitation and operational understanding of tasks goals and responsibilities associated with the role,High,Medium,Low,Role clarity and role orientation,Cognitive construction of functional clarity,Role clarity; structured onboarding
duration,Duration,Subjective perception of the temporal extension of the onboarding programme and its adequacy for assimilation,Medium,High,Low,Structure and pacing of onboarding,Temporal regulation of cognitive assimilation,Structured onboarding; cognitive load
information,Information,Accessibility and structuring of critical information required for autonomous performance at entry,High,Medium,Low,Role clarity and role orientation,Reduction of informational ambiguity,Information seeking; socialization resources
autonomy,Autonomy,Degree of operational independence perceived or required at entry according to role demands and organizational culture,High,High,Low,Functional adaptation and agency,Self-directed adjustment and agency in role enactment,Proactive socialization; self-efficacy
intranet,Intranet,Capacity for orientation and effective navigation through internal digital platforms used for knowledge and self-training,Medium,High,Low,Digital and informational resources,Navigation of organizational knowledge infrastructures,Digital onboarding; technological support
ethics,Ethics,Presence of explicit references to values principles and normative frameworks guiding organizational conduct,High,Medium,Low,Cultural and ethical alignment,Symbolic congruence between individual and organizational values,Organizational identity; cultural fit
expectations,Expectations,Level of congruence between pre-entry expectations and the reality experienced during onboarding,Medium,High,Medium,Anticipatory expectations,Continuous evaluation of congruence between expectations and lived experience,Anticipatory socialization; Expectations as Modulators
mentor,Mentor,Assignment and active role of formal or informal reference figures facilitating organizational and emotional learning,Medium,High,Medium,Perceived social support,Reference-person mediation of learning and emotional adjustment,Mentoring; relational onboarding
tools,Tools,Availability understanding and functionality of technical and digital instruments for effective performance,Medium,High,Low,Digital and instrumental resources,Instrumental enablement of role performance,Resource availability; cognitive adaptation
departments,Departments,Horizontal or vertical interactions with other functional areas as part of structural integration,Medium,High,Low,Structural integration,Cross-functional orientation and organizational mapping,Organizational socialization; network integration
communication,Communication,Quality timeliness and bidirectionality of formal and informal institutional communication channels,High,High,Low,Communication and sensemaking,Bidirectional sensemaking and interpretative alignment,Collective sensemaking; communication quality
satisfaction,Satisfaction,Global affective evaluation of onboarding and its perceived impact on motivation and continuity,High,High,High,Emotional response and integrative outcome,Affective consolidation of the organizational bond,Employee Experience; affective commitment
disorganization,Disorganization,Perception of absence of structure improvisation or incoherence in the onboarding planning,Medium,High,Medium,Misalignment and negative experience,Disruption of expected coherence and emergence of uncertainty,Expectation violation; onboarding failure
belonging,Belonging,Sense of identification with the organization its mission and members during the first stages of the employment relationship,Low,High,Medium,Interpersonal socialization and integration,Construction of insider status and organizational identification,Belongingness; organizational identity
load,Load,Perception of operational or emotional overload during the first days associated with inadequate onboarding progression,High,High,High,Cognitive-emotional burden,Overload generated by excessive or poorly sequenced information,Cognitive load; adjustment stress
space,Space,Physical and digital conditions of the work environment affecting welcome accessibility and initial well-being,Medium,High,Medium,Physical and digital environment,Experiential evaluation of environmental affordances,Employee Experience environment dimension
recommendation,Recommendation,Explicit disposition to recommend the onboarding process as an indicator of perceived quality,High,High,Low,Positive evaluative outcome,Retrospective validation of onboarding quality,Employee advocacy; experience evaluation
